SARO NUMBER,AMOUNT,APPROVED DATE,RELEASED DATE,DEPARTMENT,AGENCY,OPERATING UNIT,PURPOSE,REMARKS
SARO-CAR-20-0003280,"105,000.00",03/19/2020 08:56:38,03/20/2020 14:15:50,07 - Department of Education (DepEd),001 - Office of the Secretary,0914136 - Hingyon National High School,"Release of allotment to cover the 25% requirements of the 1st tranche compensation adjustments for civilian personnel including related costs, as authorized under Republic Act No. 11466 and National Budget Circular No. 579.",
SARO-CAR-20-0003279,"14,000.00",03/19/2020 08:56:12,03/20/2020 14:15:50,07 - Department of Education (DepEd),001 - Office of the Secretary,0914123 - Banaue National High School,"Release of allotment to cover the 25% Retirement and Life Insurance Premiums (RLIP) requirements of the 1st tranche compensation adjustments for civilian personnel, as authorized under Republic Act No. 11466 and National Budget Circular No. 579.",
SARO-CAR-20-0003278,"134,000.00",03/19/2020 08:55:46,03/20/2020 14:15:50,07 - Department of Education (DepEd),001 - Office of the Secretary,0914123 - Banaue National High School,"Release of allotment to cover the 25% requirements of the 1st tranche compensation adjustments for civilian personnel including related costs, as authorized under Republic Act No. 11466 and National Budget Circular No. 579.",
SARO-CAR-20-0003277,"717,000.00",03/19/2020 08:54:38,03/20/2020 14:18:20,08 - State Universities and Colleges (SUCs),018 - Ifugao State University,0000000 - Ifugao State University,Release of allotment to cover the Retirement and Life Insurance Premiums differential (January to December 2020) due to the implementation of R.A. No. 11466 and NBC No. 579.,
SARO-CAR-20-0003276,"7,039,000.00",03/19/2020 08:54:15,03/20/2020 14:18:20,08 - State Universities and Colleges (SUCs),018 - Ifugao State University,0000000 - Ifugao State University,"Release of allotment to cover the 1st tranche of the compensation adjustment (January to December 2020) for civilian personnel including related costs, as authorized under R.A. No. 11466 and NBC No. 579.",
SARO-CAR-20-0003275,"1,329,000.00",03/19/2020 08:53:21,03/20/2020 14:18:20,07 - Department of Education (DepEd),001 - Office of the Secretary,0814004 - Division of Ifugao,"Release of allotment to cover the 25% Retirement and Life Insurance Premiums (RLIP) requirements of the 1st tranche compensation adjustments for civilian personnel, as authorized under Republic Act No. 11466 and National Budget Circular No. 579.",
SARO-CAR-20-0003274,"13,087,000.00",03/19/2020 08:52:58,03/20/2020 14:18:20,07 - Department of Education (DepEd),001 - Office of the Secretary,0814004 - Division of Ifugao,"Release of allotment to cover the 25% requirements of the 1st tranche compensation adjustments for civilian personnel including related costs, as authorized under Republic Act No. 11466 and National Budget Circular No. 579.",
SARO-CAR-20-0003273,"48,000.00",03/19/2020 08:49:43,03/20/2020 14:18:20,07 - Department of Education (DepEd),001 - Office of the Secretary,0300014 - Regional Office - CAR,"Release of allotment to cover the 25% Retirement and Life Insurance Premiums (RLIP) requirements of the 1st tranche compensation adjustments for civilian personnel, as authorized under Republic Act No. 11466 and National Budget Circular No. 579.",
SARO-CAR-20-0003272,"473,000.00",03/19/2020 08:49:25,03/20/2020 14:18:20,07 - Department of Education (DepEd),001 - Office of the Secretary,0300014 - Regional Office - CAR,"Release of allotment to cover the 25% requirements of the 1st tranche compensation adjustments for civilian personnel including related costs, as authorized under Republic Act No. 11466 and National Budget Circular No. 579.",
SARO-CAR-20-0003271,"15,000.00",03/19/2020 08:36:16,03/20/2020 14:15:50,07 - Department of Education (DepEd),001 - Office of the Secretary,0914195 - Tanudan Vocational School,"Release of allotment to cover the 25% Retirement and Life Insurance Premiums (RLIP) requirements of the 1st tranche compensation adjustments for civilian personnel, as authorized under Republic Act No. 11466 and National Budget Circular No. 579.",
SARO-CAR-20-0003270,"146,000.00",03/19/2020 08:35:51,03/20/2020 14:15:50,07 - Department of Education (DepEd),001 - Office of the Secretary,0914195 - Tanudan Vocational School,"Release of allotment to cover the 25% requirements of the 1st tranche compensation adjustments for civilian personnel including related costs, as authorized under Republic Act No. 11466 and National Budget Circular No. 579.",
SARO-CAR-20-0003269,"20,000.00",03/19/2020 08:35:29,03/20/2020 14:15:50,07 - Department of Education (DepEd),001 - Office of the Secretary,0914186 - Rizal National School of Arts and Trades,"Release of allotment to cover the 25% Retirement and Life Insurance Premiums (RLIP) requirements of the 1st tranche compensation adjustments for civilian personnel, as authorized under Republic Act No. 11466 and National Budget Circular No. 579.",
SARO-CAR-20-0003268,"192,000.00",03/19/2020 08:34:59,03/20/2020 14:15:50,07 - Department of Education (DepEd),001 - Office of the Secretary,0914186 - Rizal National School of Arts and Trades,"Release of allotment to cover the 25% requirements of the 1st tranche compensation adjustments for civilian personnel including related costs, as authorized under Republic Act No. 11466 and National Budget Circular No. 579.",
SARO-CAR-20-0003267,"27,000.00",03/19/2020 08:34:38,03/20/2020 14:15:50,07 - Department of Education (DepEd),001 - Office of the Secretary,0914185 - Pinukpuk Vocational School,"Release of allotment to cover the 25% Retirement and Life Insurance Premiums (RLIP) requirements of the 1st tranche compensation adjustments for civilian personnel, as authorized under Republic Act No. 11466 and National Budget Circular No. 579.",
SARO-CAR-20-0003266,"263,000.00",03/19/2020 08:34:18,03/20/2020 14:15:50,07 - Department of Education (DepEd),001 - Office of the Secretary,0914185 - Pinukpuk Vocational School,"Release of allotment to cover the 25% requirements of the 1st tranche compensation adjustments for civilian personnel including related costs, as authorized under Republic Act No. 11466 and National Budget Circular No. 579.",
SARO-CAR-20-0003265,"16,000.00",03/19/2020 08:33:56,03/20/2020 14:15:50,07 - Department of Education (DepEd),001 - Office of the Secretary,0914157 - Balbalan Agricultural and Industrial School,"Release of allotment to cover the 25% Retirement and Life Insurance Premiums (RLIP) requirements of the 1st tranche compensation adjustments for civilian personnel, as authorized under Republic Act No. 11466 and National Budget Circular No. 579.",
SARO-CAR-20-0003264,"160,000.00",03/19/2020 08:33:37,03/20/2020 14:15:50,07 - Department of Education (DepEd),001 - Office of the Secretary,0914157 - Balbalan Agricultural and Industrial School,"Release of allotment to cover the 25% requirements of the 1st tranche compensation adjustments for civilian personnel including related costs, as authorized under Republic Act No. 11466 and National Budget Circular No. 579.",
SARO-CAR-20-0003263,"828,000.00",03/19/2020 08:33:13,03/20/2020 14:15:50,07 - Department of Education (DepEd),001 - Office of the Secretary,0814005 - Division of Kalinga,"Release of allotment to cover the 25% Retirement and Life Insurance Premiums (RLIP) requirements of the 1st tranche compensation adjustments for civilian personnel, as authorized under Republic Act No. 11466 and National Budget Circular No. 579.",
SARO-CAR-20-0003262,"8,154,000.00",03/19/2020 08:32:51,03/20/2020 14:15:50,07 - Department of Education (DepEd),001 - Office of the Secretary,0814005 - Division of Kalinga,"Release of allotment to cover the 25% requirements of the 1st tranche compensation adjustments for civilian personnel including related costs, as authorized under Republic Act No. 11466 and National Budget Circular No. 579.",
SARO-CAR-20-0003261,"1,592,000.00",03/19/2020 08:19:42,03/20/2020 14:18:20,08 - State Universities and Colleges (SUCs),017 - Benguet State University,0000000 - Benguet State University,Release of allotment to cover the Retirement and Life Insurance Premiums differential (January to December 2020) due to the implementation of R.A. No. 11466 and NBC No. 579.,
SARO-CAR-20-0003260,"15,624,000.00",03/19/2020 08:19:14,03/20/2020 14:18:20,08 - State Universities and Colleges (SUCs),017 - Benguet State University,0000000 - Benguet State University,"Release of allotment to cover the 1st tranche of the compensation adjustment (January to December 2020) for civilian personnel including related costs, as authorized under R.A. No. 11466 and NBC No. 579.",
SARO-ROIX-20-0003259,"3,974,216.00",03/19/2020 08:14:17,03/19/2020 17:25:37,13 - Department of Health (DOH),001 - Office of the Secretary,1400056 - Dr. Jose Rizal Memorial Hospital,To cover the requirements for Retirement and Life Insurance Premiums (RLIP) of One Hundred Two (102) newly-filled positions,
SARO-ROIX-20-0003258,"10,049,082.00",03/19/2020 08:13:48,03/19/2020 17:24:18,13 - Department of Health (DOH),001 - Office of the Secretary,1400056 - Dr. Jose Rizal Memorial Hospital,To cover the payment of the FY 2020 requirements for salaries and other compensation of One Hundred Two (102) newly-filled positions,
SARO-ROVIII-20-0003257,"9,000.00",03/18/2020 17:35:32,03/25/2020 14:51:30,07 - Department of Education (DepEd),001 - Office of the Secretary,0908420 - Maasin Vocational High School,To cover RLIP requirements for the 1st tranche compensation adjustment pursuant to RA. No. 11466 and NBC No. 579,
SARO-ROVIII-20-0003256,"91,000.00",03/18/2020 17:34:54,03/25/2020 14:51:30,07 - Department of Education (DepEd),001 - Office of the Secretary,0908420 - Maasin Vocational High School,"To cover the 1st tranche compensation adjustment for civilian personnel including related costs, as authorized under R.A. No. 11466 and NBC No. 579",
SARO-ROVIII-20-0003255,"817,000.00",03/18/2020 17:34:01,03/25/2020 14:52:51,07 - Department of Education (DepEd),001 - Office of the Secretary,0808011 - Division of Maasin City,To cover RLIP requirements for the 1st tranche compensation adjustment pursuant to RA. No. 11466 and NBC No. 579,
SARO-ROVIII-20-0003254,"8,039,000.00",03/18/2020 17:33:23,03/25/2020 14:52:51,07 - Department of Education (DepEd),001 - Office of the Secretary,0808011 - Division of Maasin City,"To cover the 1st tranche compensation adjustment for civilian personnel including related costs, as authorized under R.A. No. 11466 and NBC No. 579",
SARO-ROXIII-20-0003253,"407,471.00",03/18/2020 16:35:18,03/19/2020 17:15:38,07 - Department of Education (DepEd),001 - Office of the Secretary,0300016 - Regional Office - XIII,Release of allotment to cover payment of Terminal Leave Benefits (TLB) of Ms. Evelyn V. Salacata.,
SARO-ROXIII-20-0003252,"96,146.00",03/18/2020 16:35:00,03/19/2020 17:15:38,07 - Department of Education (DepEd),001 - Office of the Secretary,0816011 - Division of Surigao City,Release of allotment for the Terminal Leave Benefits (TLB) of Ms. Nerizza E. Paluga.,
SARO-ROIX-20-0003251,"438,559.00",03/18/2020 16:16:57,03/19/2020 17:24:18,08 - State Universities and Colleges (SUCs),113 - Tawi-Tawi Regional Agricultural College,0000000 - Tawi-Tawi Regional Agricultural College,"To cover the Terminal Leave Benefits of Ms. Putlih Albiya A. Ajijul , former Administrative Officer V, per attached List of Actual Retirees to be Paid (LARP) No. 2020-01",
SARO-ROIX-20-0003250,"1,396,549.00",03/18/2020 16:16:23,03/19/2020 17:24:18,08 - State Universities and Colleges (SUCs),113 - Tawi-Tawi Regional Agricultural College,0000000 - Tawi-Tawi Regional Agricultural College,"To cover the Terminal Leave Benefits of Ms. Putlih Albiya A. Ajijul, former Administrative Officer V per attached List of Actual Retirees to be Paid (LARP) No. 2020-01",
SARO-ROIX-20-0003249,"374,607.00",03/18/2020 16:15:49,03/19/2020 17:24:18,18 - Department of Public Works and Highways (DPWH),001 - Office of the Secretary,1800141 - Zamboanga del Norte 2nd District Engineering Office,"To cover the Terminal Leave Benefits (TLB) of Mr. Fredicardo D. Sidlao, former Engineer III, per attached List of Actual Retirees to be Paid (LARP) No. 2019-11-04",
SARO-NCR-20-0003248,"678,000.00",03/18/2020 16:13:59,03/19/2020 08:07:39,13 - Department of Health (DOH),001 - Office of the Secretary,1500001 - Bicutan Rehabilitation Center,"To release the allotment to cover the 1st tranche compensation adjustments for RLIP, pursuant to Republic Act (RA) No. 11466.",
SARO-NCR-20-0003247,"6,670,000.00",03/18/2020 16:13:39,03/19/2020 08:07:39,13 - Department of Health (DOH),001 - Office of the Secretary,1500001 - Bicutan Rehabilitation Center,"To release the allotment to cover the 1st tranche compensation adjustments for regular operating requirements including other allowances and benefits, pursuant to Republic Act (RA) No. 11466.",
SARO-NCR-20-0003246,"1,699,000.00",03/18/2020 16:13:04,03/19/2020 08:07:39,13 - Department of Health (DOH),001 - Office of the Secretary,1400016 - Dr. Jose N. Rodriguez Memorial Hospital,"To release the allotment to cover the 1st tranche compensation adjustments for RLIP, pursuant to Republic Act (RA) No. 11466.",
SARO-NCR-20-0003245,"16,677,000.00",03/18/2020 16:12:39,03/19/2020 08:07:39,13 - Department of Health (DOH),001 - Office of the Secretary,1400016 - Dr. Jose N. Rodriguez Memorial Hospital,"To release the allotment to cover the 1st tranche compensation adjustments for regular operating requirements including other allowances and benefits, pursuant to Republic Act (RA) No. 11466.",
SARO-NCR-20-0003244,"202,000.00",03/18/2020 16:12:18,03/19/2020 08:07:39,13 - Department of Health (DOH),001 - Office of the Secretary,1400015 - San Lorenzo Ruiz Special Hospital to Women,"To release the allotment to cover the 1st tranche compensation adjustments for RLIP, pursuant to Republic Act (RA) No. 11466.",
SARO-NCR-20-0003243,"1,980,000.00",03/18/2020 16:11:59,03/19/2020 08:07:39,13 - Department of Health (DOH),001 - Office of the Secretary,1400015 - San Lorenzo Ruiz Special Hospital to Women,"To release the allotment to cover the 1st tranche compensation adjustments for regular operating requirements including other allowances and benefits, pursuant to Republic Act (RA) No. 11466.",
SARO-NCR-20-0003242,"1,090,000.00",03/18/2020 16:10:59,03/19/2020 08:07:39,13 - Department of Health (DOH),001 - Office of the Secretary,1400014 - Las Pinas General Hospital and Satellite Trauma Center,"To release the allotment to cover the 1st tranche compensation adjustments for RLIP, pursuant to Republic Act (RA) No. 11466.",
SARO-NCR-20-0003241,"10,725,000.00",03/18/2020 16:10:39,03/19/2020 08:07:39,13 - Department of Health (DOH),001 - Office of the Secretary,1400014 - Las Pinas General Hospital and Satellite Trauma Center,"To release the allotment to cover the 1st tranche compensation adjustments for regular operating requirements including other allowances and benefits, pursuant to Republic Act (RA) No. 11466.",
SARO-NCR-20-0003240,"1,105,000.00",03/18/2020 16:10:00,03/19/2020 08:07:39,13 - Department of Health (DOH),001 - Office of the Secretary,1400013 - Valenzuela Medical Center,"To release the allotment to cover the 1st tranche compensation adjustments for RLIP, pursuant to Republic Act (RA) No. 11466.",
SARO-NCR-20-0003239,"10,850,000.00",03/18/2020 16:09:40,03/19/2020 08:07:39,13 - Department of Health (DOH),001 - Office of the Secretary,1400013 - Valenzuela Medical Center,"To release the allotment to cover the 1st tranche compensation adjustments for regular operating requirements including other allowances and benefits, pursuant to Republic Act (RA) No. 11466.",
SARO-NCR-20-0003238,"319,000.00",03/18/2020 16:08:51,03/19/2020 08:07:39,13 - Department of Health (DOH),001 - Office of the Secretary,0300013 - Metro Manila Centers for Health Development,"To release the allotment to cover the 1st tranche compensation adjustments for RLIP, pursuant to Republic Act (RA) No. 11466.",
SARO-NCR-20-0003237,"3,113,000.00",03/18/2020 16:08:24,03/19/2020 08:07:39,13 - Department of Health (DOH),001 - Office of the Secretary,0300013 - Metro Manila Centers for Health Development,"To release the allotment to cover the 1st tranche compensation adjustments for regular operating requirements including other allowances and benefits, pursuant to Republic Act (RA) No. 11466.",
SARO-ROVIII-20-0003236,"247,000.00",03/18/2020 15:38:44,03/20/2020 18:45:23,07 - Department of Education (DepEd),001 - Office of the Secretary,0908364 - Villa Jacinta National Vocational School,"To cover the 1st tranche compensation adjustment for civilian personnel including related costs, as authorized under R.A. No. 11466 and NBC No. 579",
SARO-ROVIII-20-0003235,"17,000.00",03/18/2020 15:37:56,03/20/2020 18:45:23,07 - Department of Education (DepEd),001 - Office of the Secretary,0908359 - Silago National Vocational School,To cover RLIP requirements for the 1st tranche compensation adjustment pursuant to RA. No. 11466 and NBC No. 579,
SARO-ROVIII-20-0003234,"164,000.00",03/18/2020 15:37:22,03/20/2020 18:45:23,07 - Department of Education (DepEd),001 - Office of the Secretary,0908359 - Silago National Vocational School,"To cover the 1st tranche compensation adjustment for civilian personnel including related costs, as authorized under R.A. No. 11466 and NBC No. 579",
SARO-ROVIII-20-0003233,"28,000.00",03/18/2020 15:36:34,03/20/2020 18:45:23,07 - Department of Education (DepEd),001 - Office of the Secretary,0908352 - Pintuyan National Vocational High School,To cover RLIP requirements for the 1st tranche compensation adjustment pursuant to RA. No. 11466 and NBC No.579,
SARO-ROVIII-20-0003232,"273,000.00",03/18/2020 15:35:55,03/20/2020 18:45:23,07 - Department of Education (DepEd),001 - Office of the Secretary,0908352 - Pintuyan National Vocational High School,"To cover the 1st tranche compensation adjustment for civilian personnel including related costs, as authorized under R.A. No. 11466 and NBC No. 579",
SARO-ROVIII-20-0003231,"25,000.00",03/18/2020 15:35:12,03/20/2020 18:45:23,07 - Department of Education (DepEd),001 - Office of the Secretary,0908364 - Villa Jacinta National Vocational School,To cover RLIP requirements for the 1st tranche compensation adjustment pursuant to RA. No. 11466 and NBC No. 579,
SARO-ROVIII-20-0003230,"2,498,000.00",03/18/2020 15:34:29,03/20/2020 18:45:23,07 - Department of Education (DepEd),001 - Office of the Secretary,0808006 - Division of Southern Leyte,To cover RLIP requirements for the 1st tranche compensation adjustment pursuant to RA. No. 11466 and NBC No. 579,
SARO-ROVIII-20-0003229,"24,599,000.00",03/18/2020 15:33:48,03/20/2020 18:45:23,07 - Department of Education (DepEd),001 - Office of the Secretary,0808006 - Division of Southern Leyte,"To cover 1st tranche compensation adjustment for civilian personnel including related costs, as authorized under R.A. No. 11466 and NBC No. 579",
SARO-ROXIII-20-0003228,"1,046,000.00",03/18/2020 14:23:53,03/20/2020 15:01:35,18 - Department of Public Works and Highways (DPWH),001 - Office of the Secretary,1800180 - Surigao del Norte 2nd District Engineering Office (formerly Surigao del Norte 1st District Engineering Office),To cover funding requirements for the First Tranche compensation adjustment for FY 2020 pursuant to NBC 579.,
SARO-ROXIII-20-0003227,"112,000.00",03/18/2020 14:19:58,03/20/2020 14:15:41,18 - Department of Public Works and Highways (DPWH),001 - Office of the Secretary,1800177 - Agusan del Sur 2nd District Engineering Office,To cover RLIP requirements for the First Tranche compensation adjustment for FY 2020 pursuant to NBC 579.,
SARO-ROXIII-20-0003226,"1,102,000.00",03/18/2020 14:19:26,03/20/2020 14:15:41,18 - Department of Public Works and Highways (DPWH),001 - Office of the Secretary,1800177 - Agusan del Sur 2nd District Engineering Office,To cover funding requirements for the First Tranche compensation adjustment for FY 2020 pursuant to NBC 579.,
SARO-ROXIII-20-0003225,"139,000.00",03/18/2020 14:19:08,03/20/2020 14:15:41,18 - Department of Public Works and Highways (DPWH),001 - Office of the Secretary,1800176 - Agusan del Sur 1st District Engineering Office,To cover RLIP requirements for the First Tranche compensation adjustment for FY 2020 pursuant to NBC 579.,
SARO-ROXIII-20-0003224,"1,369,000.00",03/18/2020 14:18:48,03/20/2020 14:15:41,18 - Department of Public Works and Highways (DPWH),001 - Office of the Secretary,1800176 - Agusan del Sur 1st District Engineering Office,To cover funding requirements for the First Tranche compensation adjustment for FY 2020 pursuant to NBC 579.,
SARO-ROXIII-20-0003223,"111,000.00",03/18/2020 14:18:14,03/20/2020 14:15:41,18 - Department of Public Works and Highways (DPWH),001 - Office of the Secretary,1800175 - Agusan del Norte District Engineering Office,To cover RLIP requirements for the First Tranche compensation adjustment for FY 2020 pursuant to NBC 579.,
SARO-ROXIII-20-0003222,"1,088,000.00",03/18/2020 14:17:51,03/20/2020 14:15:41,18 - Department of Public Works and Highways (DPWH),001 - Office of the Secretary,1800175 - Agusan del Norte District Engineering Office,To cover funding requirements for the First Tranche compensation adjustment for FY 2020 pursuant to NBC 579.,
SARO-ROIX-20-0003221,"265,259.00",03/18/2020 14:02:30,03/18/2020 14:24:15,13 - Department of Health (DOH),001 - Office of the Secretary,1400054 - Labuan Public Hospital,"To cover the Terminal Leave Benefits (TLB) of Mr. Romeo B. Villanueva, former Seaman, per attached List of Actual Retirees to be Paid (LARP) No. 2019-12-001",
SARO-ROII-20-0003220,"607,150.00",03/18/2020 14:02:28,03/19/2020 14:03:56,07 - Department of Education (DepEd),001 - Office of the Secretary,0802007 - Division of Santiago City,To cover the FY 2020 RLIP requirements of twenty (20) newly created teaching positions,
SARO-ROII-20-0003219,"6,820,411.00",03/18/2020 14:01:48,03/19/2020 14:03:56,07 - Department of Education (DepEd),001 - Office of the Secretary,0802007 - Division of Santiago City,To cover funding requirements for deficiency in authorized personnel benefits for FY 2020 due to filling of twenty (20) newly created teaching positions,
SARO-ROII-20-0003218,.00,03/18/2020 14:01:13,03/19/2020 14:03:56,07 - Department of Education (DepEd),001 - Office of the Secretary,0802007 - Division of Santiago City,To effect modification in the appropriation to cover PS deficiency due to filling of twenty (20) newly created teaching positions,
SARO-ROII-20-0003217,"718,142.00",03/18/2020 14:00:41,03/19/2020 14:03:56,07 - Department of Education (DepEd),001 - Office of the Secretary,0902047 - Claveria Rural and Vocational School,"To cover payment of the Terminal Leave Benefits of Mr. Prospero R. Valdez, an optional retiree.",
SARO-ROXIII-20-0003216,"77,918.00",03/18/2020 13:58:59,03/20/2020 14:15:41,07 - Department of Education (DepEd),001 - Office of the Secretary,0816002 - Division of Agusan del Sur,Release of allotment to cover payment for the Terminal Leave Benefits of Ms. Rebecca J. Pasigna.,
SARO-ROXIII-20-0003215,"106,000.00",03/18/2020 13:57:01,03/20/2020 14:15:41,18 - Department of Public Works and Highways (DPWH),001 - Office of the Secretary,1800179 - Dinagat Islands District Engineering Office,To cover RLIP requirements for the First Tranche compensation adjustment for FY 2020 pursuant to NBC 579.,
SARO-ROXIII-20-0003214,"1,042,000.00",03/18/2020 13:56:41,03/20/2020 14:15:41,18 - Department of Public Works and Highways (DPWH),001 - Office of the Secretary,1800179 - Dinagat Islands District Engineering Office,To cover funding requirements for the First Tranche compensation adjustment for FY 2020 pursuant to NBC 579.,
SARO-ROXIII-20-0003213,"106,000.00",03/18/2020 13:56:17,03/20/2020 14:15:41,18 - Department of Public Works and Highways (DPWH),001 - Office of the Secretary,1800180 - Surigao del Norte 2nd District Engineering Office (formerly Surigao del Norte 1st District Engineering Office),To cover RLIP requirements for the First Tranche compensation adjustment for FY 2020 pursuant to NBC 579.,
SARO-ROXIII-20-0003212,"108,000.00",03/18/2020 13:55:54,03/20/2020 14:15:41,18 - Department of Public Works and Highways (DPWH),001 - Office of the Secretary,1800181 - Surigao del Norte 1st District Engineering Office (formerly Surigao del Norte 2nd District Engineering Office),To cover RLIP requirements for the First Tranche compensation adjustment for FY 2020 pursuant to NBC 579.,
SARO-ROXIII-20-0003211,"1,064,000.00",03/18/2020 13:55:32,03/20/2020 14:15:41,18 - Department of Public Works and Highways (DPWH),001 - Office of the Secretary,1800181 - Surigao del Norte 1st District Engineering Office (formerly Surigao del Norte 2nd District Engineering Office),To cover funding requirements for the First Tranche compensation adjustment for FY 2020 pursuant to NBC 579.,
SARO-ROXIII-20-0003210,"371,000.00",03/18/2020 13:55:09,03/20/2020 14:15:41,18 - Department of Public Works and Highways (DPWH),001 - Office of the Secretary,0300016 - Regional Office XIII - Proper,To cover RLIP requirements for the First Tranche compensation adjustment for FY 2020 pursuant to NBC 579.,
SARO-ROXIII-20-0003209,"3,648,000.00",03/18/2020 13:54:43,03/20/2020 14:15:41,18 - Department of Public Works and Highways (DPWH),001 - Office of the Secretary,0300016 - Regional Office XIII - Proper,To cover funding requirements for the First Tranche compensation adjustment for FY 2020 pursuant to NBC 579.,
SARO-ROXIII-20-0003206,"1,030,000.00",03/18/2020 13:34:54,03/19/2020 17:15:38,18 - Department of Public Works and Highways (DPWH),001 - Office of the Secretary,1800178 - Butuan City District Engineering Office,To cover funding requirements for the First Tranche compensation adjustment for FY 2020 pursuant to NBC 579.,
SARO-ROXIII-20-0003205,"105,000.00",03/18/2020 13:34:30,03/19/2020 17:15:38,18 - Department of Public Works and Highways (DPWH),001 - Office of the Secretary,1800178 - Butuan City District Engineering Office,Government counterpart in RLIP for the First Tranche compensation adjustment for FY 2020 pursuant to NBC 579.,
SARO-ROXIII-20-0003204,"32,000.00",03/18/2020 13:33:57,03/19/2020 17:15:38,26 - Other Executive Offices (OEOs),004 - Commission on Higher Education,0300016 - Regional Office - XIII,Government counterpart in RLIP for the First Tranche compensation adjustment for FY 2020 pursuant to NBC 579.,
SARO-ROXIII-20-0003203,"304,000.00",03/18/2020 13:33:31,03/19/2020 17:15:38,26 - Other Executive Offices (OEOs),004 - Commission on Higher Education,0300016 - Regional Office - XIII,To cover funding requirements for the First Tranche compensation adjustment for FY 2020 pursuant to NBC 579.,
SARO-ROX-20-0003202,"655,838.00",03/18/2020 13:31:25,03/19/2020 10:52:46,07 - Department of Education (DepEd),001 - Office of the Secretary,0810007 - Division of El Salvador City,"To cover funding requirements for payment of monetization of leave credits for CY 2020 of eleven (11) personnel per attached Annex ""C"" subject to compliance to existing CSC rules and regulations on leave monetization.",
SARO-ROX-20-0003201,"236,840.00",03/18/2020 13:17:46,03/20/2020 14:37:39,07 - Department of Education (DepEd),001 - Office of the Secretary,0810012 - Division of Ozamiz City,To cover funding requirements for the payment of monetization of leave credits for CY 2019 of four (4) personnel per attached Annex “C” subject to compliance to existing CSC rules and regulations on monetization of leave credits.,
SARO-ROXIII-20-0003190,"64,000.00",03/18/2020 13:04:37,03/20/2020 14:15:41,22 - Department of Trade and Industry (DTI),009 - Technical Education and Skills Development Authority,1600056 - Northern Mindanao School of Fisheries,Government counterpart in RLIP for the First Tranche compensation adjustment in FY 2020 pursuant to NBC No. 579.,
SARO-ROXIII-20-0003189,"634,000.00",03/18/2020 13:04:15,03/20/2020 14:15:41,22 - Department of Trade and Industry (DTI),009 - Technical Education and Skills Development Authority,1600056 - Northern Mindanao School of Fisheries,To cover funding requirements for the First Tranche compensation adjustment in FY 2020 pursuant to NBC No. 579.,
SARO-ROXIII-20-0003188,"62,000.00",03/18/2020 13:03:53,03/20/2020 14:15:41,22 - Department of Trade and Industry (DTI),009 - Technical Education and Skills Development Authority,1600055 - Agusan del Sur School of Arts and Trades,Government counterpart in RLIP for the First Tranche compensation adjustment in FY 2020 pursuant to NBC No. 579.,
SARO-ROXIII-20-0003187,"611,000.00",03/18/2020 13:03:29,03/20/2020 14:15:41,22 - Department of Trade and Industry (DTI),009 - Technical Education and Skills Development Authority,1600055 - Agusan del Sur School of Arts and Trades,To cover funding requirements for the First Tranche compensation adjustment in FY 2020 pursuant to NBC No. 579.,
SARO-ROXIII-20-0003186,"253,000.00",03/18/2020 12:59:02,03/20/2020 14:15:41,13 - Department of Health (DOH),001 - Office of the Secretary,0300016 - Caraga Centers for Health Development,To cover RLIP requirements for the First Tranche compensation adjustment for FY 2020 pursuant to NBC 579.,
SARO-ROXIII-20-0003185,"2,472,000.00",03/18/2020 12:58:19,03/20/2020 14:15:41,13 - Department of Health (DOH),001 - Office of the Secretary,0300016 - Caraga Centers for Health Development,To cover funding requirements for the First Tranche compensation adjustment for FY 2020 pursuant to NBC 579.,
SARO-BMB-F-20-0003184,"20,000.00",03/18/2020 12:05:27,03/26/2020 17:03:29,07 - Department of Education (DepEd),001 - Office of the Secretary,0200001 - Baguio Teachers Camp,"To cover the Retirement and Life Insurance Premiums adjustment, as authorized under NBC No. 579 dated January 24, 2020, pursuant to Republic Act No. 11465.",
SARO-BMB-F-20-0003183,"201,000.00",03/18/2020 12:05:09,03/26/2020 17:03:29,07 - Department of Education (DepEd),001 - Office of the Secretary,0200001 - Baguio Teachers Camp,"To cover the 1st tranche compensation adjustments including related costs, as authorized under NBC No. 579 dated January 24, 2020, pursuant to Republic Act No. 11465.",
SARO-BMB-F-20-0003182,"446,000.00",03/18/2020 12:04:46,03/24/2020 15:26:17,07 - Department of Education (DepEd),001 - Office of the Secretary,0100000 - Central Office,"To cover the Retirement and Life Insurance Premiums adjustment, as authorized under NBC No. 579 dated January 24, 2020, pursuant to Republic Act No. 11465.",
SARO-BMB-F-20-0003181,"4,366,000.00",03/18/2020 12:04:28,03/24/2020 15:25:51,07 - Department of Education (DepEd),001 - Office of the Secretary,0100000 - Central Office,"To cover the 1st tranche compensation adjustments including related costs, as authorized under NBC No. 579 dated January 24, 2020, pursuant to Republic Act No. 11465.",
SARO-BMB-F-20-0003180,"62,000.00",03/18/2020 11:59:39,04/02/2020 15:29:36,19 - Department of Science and Technology (DOST),001 - Office of the Secretary,0300016 - Regional Office - XIII,"To cover the Retirement and Life Insurance Premiums adjustment, as authorized under NBC No. 579 dated January 24, 2020, pursuant to Republic Act No. 11466.",
