NCA NUMBER,NCA TYPE,APPROVED DATE,RELEASED DATE,DEPARTMENT,AGENCY,OPERATING UNIT,AMOUNT,PURPOSE,REMARKS
NCA-ROIII-20-0003246,REG,03/11/20 17:50:56,03/16/2020 14:11:33,Department of Education (DepEd),Office of the Secretary,San Josef National High School,"664,000.00",To cover additional cash requirement due to implementation of the first tranche of the modified salary schedule for civilian personnel in the National Government pursuant to Republic Act No. 11466 as implemented by NBC No. 579 for the first quarter of FY 2020,
NCA-ROIII-20-0003246,REG,03/11/20 17:50:56,03/16/2020 14:11:33,Department of Education (DepEd),Office of the Secretary,Eastern Cabu National High School,"263,000.00",To cover additional cash requirement due to implementation of the first tranche of the modified salary schedule for civilian personnel in the National Government pursuant to Republic Act No. 11466 as implemented by NBC No. 579 for the first quarter of FY 2020,
NCA-ROIII-20-0003246,REG,03/11/20 17:50:56,03/16/2020 14:11:33,Department of Education (DepEd),Office of the Secretary,Mayapyap National High School,"435,000.00",To cover additional cash requirement due to implementation of the first tranche of the modified salary schedule for civilian personnel in the National Government pursuant to Republic Act No. 11466 as implemented by NBC No. 579 for the first quarter of FY 2020,
NCA-ROIII-20-0003246,REG,03/11/20 17:50:56,03/16/2020 14:11:33,Department of Education (DepEd),Office of the Secretary,Marciano del Rosario National High School,"499,000.00",To cover additional cash requirement due to implementation of the first tranche of the modified salary schedule for civilian personnel in the National Government pursuant to Republic Act No. 11466 as implemented by NBC No. 579 for the first quarter of FY 2020,
NCA-ROIII-20-0003246,REG,03/11/20 17:50:56,03/16/2020 14:11:33,Department of Education (DepEd),Office of the Secretary,Camp Tinio National High School,"1,464,000.00",To cover additional cash requirement due to implementation of the first tranche of the modified salary schedule for civilian personnel in the National Government pursuant to Republic Act No. 11466 as implemented by NBC No. 579 for the first quarter of FY 2020,
NCA-ROIII-20-0003246,REG,03/11/20 17:50:56,03/16/2020 14:11:33,Department of Education (DepEd),Office of the Secretary,"Honorato C. Perez, Sr. Memorial Science High School (Cabanatuan City Science High School)","281,000.00",To cover additional cash requirement due to implementation of the first tranche of the modified salary schedule for civilian personnel in the National Government pursuant to Republic Act No. 11466 as implemented by NBC No. 579 for the first quarter of FY 2020,
NCA-ROXII-20-0003245,REG,03/11/20 17:38:46,03/13/2020 10:16:36,Department of Education (DepEd),Office of the Secretary,Division of Cotabato City,"10,695,155.00",To cover additional funding requirements charged against Sub-AROs.,
NCA-ROXII-20-0003244,REG,03/11/20 17:34:14,03/13/2020 10:16:35,Department of Education (DepEd),Office of the Secretary,Division of Cotabato City,"1,167,455.00",To cover additional funding requirements charged against Sub-AROs.,
NCA-ROIX-20-0003243,REG,03/11/20 17:18:30,03/12/2020 17:20:57,Department of Education (DepEd),Office of the Secretary,Division of Zamboanga City,"18,609,000.00",To cover additional operating requirements for FY 2020,
NCA-ROIX-20-0003242,REG,03/11/20 16:59:53,03/12/2020 17:20:56,Department of Education (DepEd),Office of the Secretary,Culianan National High School,"306,000.00",To cover additional operating requirements for FY 2020,
NCA-ROIX-20-0003242,REG,03/11/20 16:59:53,03/12/2020 17:20:56,Department of Education (DepEd),Office of the Secretary,Don Pablo Lorenzo Memorial High School,"714,000.00",To cover additional operating requirements for FY 2020,
NCA-ROIX-20-0003242,REG,03/11/20 16:59:53,03/12/2020 17:20:56,Department of Education (DepEd),Office of the Secretary,Manicahan National High School,"210,000.00",To cover additional operating requirements for FY 2020,
NCA-ROIX-20-0003242,REG,03/11/20 16:59:53,03/12/2020 17:20:56,Department of Education (DepEd),Office of the Secretary,Curuan National High School,"264,000.00",To cover additional operating requirements for FY 2020,
NCA-ROIX-20-0003242,REG,03/11/20 16:59:53,03/12/2020 17:20:56,Department of Education (DepEd),Office of the Secretary,Maria Clara L. Lobregat National High School (Divisoria National High School),"495,000.00",To cover additional operating requirements for FY 2020,
NCA-ROIVB-20-0003241,PY,03/11/20 16:59:45,03/11/2020 17:38:46,Department of Health (DOH),Office of the Secretary,MIMAROPA Centers for Health Development,"14,502,053.00",Additional cash requirements (net of tax) for the month of March to cover payment of various prior years’ accounts payables for MOOE and CO.,
NCA-CAR-20-0003240,REG,03/11/20 16:55:37,03/12/2020 14:25:20,Department of Education (DepEd),Office of the Secretary,Banaue National High School,"256,928.00",Release of cash allocation to cover the FY 2020 first quarter regular Personnel Services (PS) and Retirement and Life Insurance Premium (RLIP) requirements of filled four (4) [two (2) teaching and two (2) non-teaching] positions.,
NCA-NCR-20-0003239,TLRG,03/11/20 16:55:23,03/11/2020 17:45:53,Department of Health (DOH),Office of the Secretary,Dr. Jose N. Rodriguez Memorial Hospital,"322,077.00","To cover the payment for  the Terminal Leave Benefits of Ms. Luciana Dolorito, per attached LARP.",
NCA-BMB-E-20-0003238,TLRG,03/11/20 16:45:04,03/25/2020 17:59:31,Department of Agriculture (DA),Philippine Carabao Center,,"418,977.00","To cover payment of Terminal Leave Benefits of Mr. Mario M. Delizo, an optional retiree.",
NCA-NCR-20-0003237,REG,03/11/20 16:44:53,03/11/2020 16:47:19,Department of Education (DepEd),Office of the Secretary,Sagad High School (Rizal High School - Sagad),"3,466,536.00",To cover the Personnel Services (PS) requirements of ten (10) newly-filled positions for the period January to December 2020.,
NCA-NCR-20-0003236,REG,03/11/20 16:44:52,03/11/2020 16:47:19,Department of Education (DepEd),Office of the Secretary,Division of Marikina,"29,506,902.00",To cover the Personnel Services (PS) requirements of seventy-two (72) newly-filled positions for the period January to December 2020.,
NCA-NCR-20-0003235,REG,03/11/20 16:44:50,03/11/2020 16:47:18,Department of Education (DepEd),Office of the Secretary,CAA National High School,"9,012,995.00",To cover the Personnel Services (PS) requirements of twenty-six (26) newly-filled positions for the period January to December 2020.,
NCA-NCR-20-0003234,REG,03/11/20 16:44:49,03/11/2020 16:47:17,Department of Education (DepEd),Office of the Secretary,Division of Muntinlupa,"4,346,428.00",To cover the Personnel Services (PS) requirements of fourteen (14) newly-filled positions for the period January to December 2020.,
NCA-NCR-20-0003233,REG,03/11/20 16:44:47,03/11/2020 16:47:16,Department of Education (DepEd),Office of the Secretary,Las Piñas National High School (Main),"8,666,341.00",To cover the Personnel Services (PS) requirements of twenty-five (25) newly-filled positions for the period January to December 2020.,
NCA-NCR-20-0003232,REG,03/11/20 16:27:33,03/11/2020 16:47:00,Department of Education (DepEd),Office of the Secretary,Santolan High School (Rizal High School-Santolan),"3,772,450.00",To cover the Personnel Services (PS) requirements of eleven (11) newly-filled positions for the period January to December 2020.,
NCA-NCR-20-0003231,REG,03/11/20 16:27:31,03/11/2020 16:46:59,Department of Education (DepEd),Office of the Secretary,Eusebio High School (Rizal High School - Rosario),"2,870,894.00",To cover the Personnel Services (PS) requirements of eight (8) newly-filled positions for the period January to December 2020.,
NCA-NCR-20-0003230,REG,03/11/20 16:27:30,03/11/2020 16:46:58,Department of Education (DepEd),Office of the Secretary,Kapitolyo High School (Rizal High School-Kapitolyo),"940,640.00",To cover the Personnel Services (PS) requirements of three (3) newly-filled positions for the period January to December 2020.,
NCA-NCR-20-0003229,REG,03/11/20 16:27:28,03/11/2020 16:46:57,Department of Education (DepEd),Office of the Secretary,Rizal High School (Main),"8,150,570.00",To cover the Personnel Services (PS) requirements of twenty-four (24) newly-filled positions for the period January to December 2020.,
NCA-NCR-20-0003228,REG,03/11/20 16:27:27,03/11/2020 16:46:56,Department of Education (DepEd),Office of the Secretary,Division of Pasig City,"7,279,726.00",To cover the Personnel Services (PS) requirements of twenty-one (21) newly-filled positions for the period January to December 2020.,
NCA-NCR-20-0003227,REG,03/11/20 16:27:25,03/11/2020 16:46:54,Department of Education (DepEd),Office of the Secretary,Antonio Maceda Integrated School,"4,959,507.00",To cover the Personnel Services (PS) requirements of thirteen (13) newly-filled positions for the period January to December 2020.,
NCA-BMB-C-20-0003226,TLRG,03/11/20 16:21:02,03/20/2020 13:06:10,Presidential Communications Operations Office (PCOO),Presidential Communications Operations Office (Proper),,"978,158.00",To cover the terminal leave benefits of ten (10) optional retirees per Attachment 1.,
NCA-BMB-C-20-0003225,APB,03/11/20 16:20:51,03/20/2020 13:06:10,Presidential Communications Operations Office (PCOO),Presidential Communications Operations Office (Proper),,"397,000.00",To partially cover the terminal leave benefits of Mr. Leonardo B. Cruda.,
NCA-BMB-F-20-0003224,APB,03/11/20 16:10:16,03/25/2020 18:00:52,State Universities and Colleges (SUCs),Mindanao State University,Mindanao State University - Maguindanao,"864,976.00",To cover the payment of terminal leave benefits claims of former employees per attached Annex B.,
NCA-BMB-F-20-0003223,APB,03/11/20 16:10:14,03/25/2020 18:00:52,State Universities and Colleges (SUCs),University of the Philippines System,,"465,757.00",To cover the payment of terminal leave benefits claims of former employees per attached Annex B.,
NCA-ROIX-20-0003222,REG,03/11/20 15:51:30,03/12/2020 17:20:55,Department of Education (DepEd),Office of the Secretary,Siocon National High School,"178,000.00",To cover additional operating requirements for FY 2020,
NCA-ROIX-20-0003221,REG,03/11/20 15:51:29,03/13/2020 16:51:16,Department of Education (DepEd),Office of the Secretary,Division of Zamboanga del Norte,"26,634,000.00",To cover additional operating requirements for FY 2020,
NCA-ROIX-20-0003220,REG,03/11/20 15:51:27,03/13/2020 16:51:15,Department of Education (DepEd),Office of the Secretary,Sindangan National High School,"351,000.00",To cover additional operating requirements for FY 2020,
NCA-ROIX-20-0003219,REG,03/11/20 15:51:26,03/13/2020 16:51:14,Department of Education (DepEd),Office of the Secretary,Piñan National High School,"168,000.00",To cover additional operating requirements for FY 2020,
NCA-ROIX-20-0003218,REG,03/11/20 15:51:25,03/12/2020 17:20:54,Department of Education (DepEd),Office of the Secretary,Sibutad National High School,"112,000.00",To cover additional operating requirements for FY 2020,
NCA-CAR-20-0003217,REG,03/11/20 14:45:13,03/12/2020 14:25:19,Department of Education (DepEd),Office of the Secretary,Apayao National Industrial and Agricultural High School,"424,967.00",Release of cash allocation to cover the FY 2020 first quarter regular Personnel Services (PS) and Retirement and Life Insurance Premium (RLIP) requirements of four (4) filled positions.,
NCA-ROXIII-20-0003216,TLRG,03/11/20 14:43:37,03/12/2020 10:50:40,State Universities and Colleges (SUCs),Surigao del Sur State University,,"488,016.00",To cover payment of terminal leave benefits of Mr. Luisito M. Torres.,
NCA-CAR-20-0003215,TLRG,03/11/20 13:59:41,03/12/2020 14:25:19,Department of Education (DepEd),Office of the Secretary,Regional Office - CAR,"26,728.00",Release of cash allocation to cover the monetization of leave credits of one (1) personnel per attached List of Personnel Availing Monetization of Leave Credits (LPAMLC).,
NCA-ROI-20-0003214,TLRG,03/11/20 13:42:37,03/16/2020 10:12:54,Department of Education (DepEd),Office of the Secretary,Division of Urdaneta City,"256,150.00","To cover payment of Monetization of Leave Credits of Ms. Junaur O. Rillorta - P125,982.95; Ms. Jesusa S. Agbanlog - P62,517.50; and Mr. Salvador N. Rabut Jr. - P67,649.99.",
NCA-ROI-20-0003213,TLRG,03/11/20 13:42:35,03/16/2020 10:12:53,Department of Education (DepEd),Office of the Secretary,Division of San Carlos City,"111,779.00","To cover payment of Monetization of Leave Credits of Ms. Lourdes C. Caranto - P39,132.95; and Ms. Emelita G. Peralta - P72,645.68.",
NCA-ROI-20-0003212,REG,03/11/20 13:42:24,03/16/2020 10:12:52,Department of Education (DepEd),Office of the Secretary,Bangan Oda National High School,"63,660.00",To cover requirement of one (1) position filled in FY 2019 for the months of January to March 2020.,
NCA-ROI-20-0003211,REG,03/11/20 13:42:22,03/16/2020 10:12:52,State Universities and Colleges (SUCs),North Luzon Philippines State College,,"1,091,124.00",To cover additional operating requirements.,
NCA-NCR-20-0003210,REG,03/11/20 13:20:08,03/11/2020 14:48:43,Department of Education (DepEd),Office of the Secretary,Division of Quezon City,"50,264,777.00",To cover the Personnel Services (PS) requirements of one hundred forty-five (145) newly-filled positions for the period January to December 2020.,
NCA-NCR-20-0003209,REG,03/11/20 13:20:06,03/11/2020 14:48:42,Department of Education (DepEd),Office of the Secretary,Sta Elena High School,"693,307.00",To cover the Personnel Services (PS) requirements of two (2) newly-filled positions for the period January to December 2020.,
NCA-NCR-20-0003208,REG,03/11/20 13:20:04,03/11/2020 14:48:42,Department of Education (DepEd),Office of the Secretary,Parang High School,"1,674,687.00",To cover the Personnel Services (PS) requirements of five (5) newly-filled positions for the period January to December 2020.,
NCA-CAR-20-0003207,TLRG,03/11/20 13:16:13,03/12/2020 14:25:18,Department of Public Works and Highways (DPWH),Office of the Secretary,Lower Kalinga District Engineering Office,"25,900.00","Release of cash allocation to cover the Terminal Leave Benefit of Ms. Remedios M. Dapeg, former Engineer II, optional retiree.",
NCA-ROVII-20-0003206,REG,03/11/20 13:07:32,03/16/2020 15:59:52,Department of Education (DepEd),Office of the Secretary,La Union National High School,"148,000.00",To cover additional operating requirements for CY 2020,
NCA-ROVII-20-0003205,REG,03/11/20 13:06:33,03/16/2020 09:10:35,Department of Education (DepEd),Office of the Secretary,Division of Naga City,"3,501,000.00",To cover additional operating requirements for CY 2020,
NCA-CAR-20-0003204,REG,03/11/20 11:48:43,03/12/2020 14:25:17,Department of Education (DepEd),Office of the Secretary,Division of Benguet,"8,307,868.00","Release of cash allocation to cover the FY 2020 first semester Personnel Services (PS) requirements (Regular PS, and Retirement and Life Insurance Premiums) due to the filling-up of thirty-four (34) vacant teaching positions and five (5) vacant non-teaching positions.",
NCA-ROXII-20-0003203,REG,03/11/20 10:10:24,03/13/2020 10:16:34,Department of Education (DepEd),Office of the Secretary,"Cotabato City National High School, Barangay Rosary Height # 4","780,000.00",To cover additional funding requirements charged against Sub-AROs.,
NCA-ROIVB-20-0003202,TLRG,03/11/20 09:37:33,03/11/2020 17:38:45,Department of Trade and Industry (DTI),Technical Education and Skills Development Authority,Regional Office - IVB,"755,292.00","To cover payment of Terminal Leave Benefit (TLB) of Mr. Armando O. Aquino , former Director III of TESDA PO - Occidental Mindoro.",
NCA-ROIX-20-0003201,REG,03/11/20 09:08:49,03/11/2020 17:38:05,State Universities and Colleges (SUCs),Zamboanga State College of Marine Sciences and Technology,,"1,618,000.00",To cover additional operating requirements for FY 2020,
NCA-BMB-D-20-0003200,APB,03/11/20 08:05:53,03/20/2020 13:24:44,Department of the Interior and Local Government (DILG),Office of the Secretary,Central Office,"3,561,621.00",To cover the funding requirements for the monetization of leave credits claims of the DILG Regional Office IV-A personnel per attached Schedule A.,
NCA-ROVIII-20-0003199,PY,03/10/20 20:25:47,03/11/2020 18:32:57,Department of Health (DOH),Office of the Secretary,Eastern Visayas Regl Medical Center,"34,110,925.00",To cover the payment of prior years’ due and demandable obligations,
NCA-ROVIII-20-0003198,REG,03/10/20 20:22:16,03/11/2020 18:32:56,Department of Education (DepEd),Office of the Secretary,Valeriano C. Yancha Memorial Agricultural School,"420,381.00","To cover PS deficiency due to unfunded positions for the period January to March 2020 inclusive of the 1st Tranche Compensation Adjustments and other PS-related costs, as authorized under RA No. 11466",
NCA-ROVIII-20-0003197,REG,03/10/20 20:19:17,03/11/2020 18:32:55,Department of Education (DepEd),Office of the Secretary,Division of Eastern Samar,"4,980,144.00","To cover PS deficiency due to unfunded positions for the period January to March 2020 inclusive of the 1st tranche compensation adjustments and other PS-related costs, as authorized under RA No. 11466",
NCA-ROVIII-20-0003196,REG,03/10/20 20:16:40,03/12/2020 18:02:04,Department of Education (DepEd),Office of the Secretary,Tacloban National High School,"139,365.00","To cover PS deficiency due to unfunded positions for the period January to March 2020, inclusive of the provision for the 1st Tranche compensation adjustments and other PS related costs pursuant to RA 11466",
NCA-ROVIII-20-0003195,REG,03/10/20 20:14:53,03/11/2020 18:32:55,Department of Education (DepEd),Office of the Secretary,Lalawigan National High School,"255,000.00","To cover PS deficiency due to unfunded positions for the period January to March 2020 inclusive of the 1st tranche compensation adjustments and other PS-related costs, as authorized under RA No. 11466",
NCA-ROVIII-20-0003194,TLRG,03/10/20 20:11:56,03/11/2020 18:32:54,Department of Education (DepEd),Office of the Secretary,Lalawigan National High School,"353,387.00","To cover payment of Terminal Leave Benefits of Myrna S. Arma, per attached List of Actual Retirees to be Paid (LARP)",
NCA-ROVIII-20-0003193,TLRG,03/10/20 20:09:25,03/12/2020 18:02:03,Department of Education (DepEd),Office of the Secretary,Culaba National Vocational School,"1,650,250.00","To cover payment of Terminal Leave Benefits of Danilo N. Cale, mandatory retiree from Culaba National Vocational School, per Sub-ARO No. RO-8-20-0049 dated February 26, 2020 , duly supported with a List of Actual Retirees to be Paid (LARP)",
NCA-ROV-20-0003192,TLRG,03/10/20 18:10:24,03/11/2020 10:18:06,Department of Health (DOH),Office of the Secretary,Bicol Regional Training & Teaching Hospital,"139,722.00","To cover payment for the terminal leave benefits of Mr. Raul B. Magallon, Jr.  former employee of that Agency, as per attached LARP.",
NCA-ROV-20-0003191,TR,03/10/20 18:09:20,03/11/2020 10:18:05,Department of Public Works and Highways (DPWH),Office of the Secretary,Sorsogon District Engineering Office,"4,439,698.00","To cover trust receipts deposited with the Bureau of Treasury pursuant to Executive Order No. 338 as implemented by COA-DBM-DOF Joint Circular No. 1-97 dated January 02, 1997, for payment of the 90.00% Work Accomplishment for the Construction of Sorsogon RHU I, Sorsogon City under the Department of Health - Health Facilities Enhancement Program 2018.",
NCA-ROIX-20-0003190,APB,03/10/20 18:06:57,03/11/2020 17:38:04,State Universities and Colleges (SUCs),Western Mindanao State University,,"2,195,993.00",To cover the Terminal Leave Benefits (TLB) of Four (4) retirees per attached List of Actual Retirees to be Paid (LARP),
NCA-ROVII-20-0003189,REG,03/10/20 17:51:52,03/16/2020 14:15:11,Department of Education (DepEd),Office of the Secretary,Division of Tanjay City,"2,654,016.00",To cover the payment of monetization of leave credits per Attachment A,
NCA-ROII-20-0003188,REG,03/10/20 17:40:40,03/11/2020 13:10:46,Department of Education (DepEd),Office of the Secretary,St. Paul Vocational and Industrial High School,"84,618.00",To cover any PS deficiency in authorized positions due to filling of one (1) Teacher II position for the month of March 2020.,
NCA-ROIX-20-0003187,REG,03/10/20 17:32:42,03/11/2020 17:38:03,Department of Education (DepEd),Office of the Secretary,Ayala National High School,"498,000.00",To cover additional operating requirements for FY 2020,
NCA-ROIX-20-0003186,REG,03/10/20 17:32:13,03/11/2020 17:38:02,Department of Education (DepEd),Office of the Secretary,Zamboanga City National High School (Main),"1,023,000.00",To cover additional operating requirements for FY 2020,
NCA-ROII-20-0003185,REG,03/10/20 17:31:46,03/11/2020 13:10:36,Department of Education (DepEd),Office of the Secretary,Calanigan National High School,"63,568.00","To cover any PS deficiency due to subsequent filling of one (1) Administrative Assistant II position for the period January to March, 2020.",
NCA-ROII-20-0003185,REG,03/10/20 17:31:46,03/11/2020 13:10:36,Department of Education (DepEd),Office of the Secretary,San Pablo National High School,"63,568.00","To cover any PS deficiency due to subsequent filling of one (1) Administrative Assistant II position for the period January to March, 2020.",
NCA-ROV-20-0003184,TR,03/10/20 16:35:52,03/10/2020 18:07:07,Department of Health (DOH),Office of the Secretary,Bicol Centers for Health Development,"2,345,980.00","To cover trust receipts deposited with the National Treasury, for the operations of the Bicol Regional Diagnostic and Reference Laboratory.",
NCA-ROVII-20-0003183,REG,03/10/20 16:20:39,03/16/2020 09:10:34,Department of Education (DepEd),Office of the Secretary,Naga National High School,"907,000.00",To cover additional operating requirements for CY 2020,
NCA-ROVII-20-0003182,REG,03/10/20 16:17:11,03/12/2020 14:59:59,Department of Education (DepEd),Office of the Secretary,Catigbian National High School,"193,000.00",To cover additional operating requirements for CY 2020,
NCA-LGRCB-20-0003181,REG,03/10/20 16:09:55,03/25/2020 18:01:41,Department of Finance (DOF),Bureau of the Treasury,Central Office,"256,256.00",National Government Share in the payment of the Terminal Leave Benefits of personnel devolved to Mandaluyong City per attached Schedule A.,
NCA-LGRCB-20-0003180,REG,03/10/20 16:06:06,03/25/2020 18:01:28,Department of Finance (DOF),Bureau of the Treasury,Central Office,"72,238.00","National Government Share in the payment of the Terminal Leave Benefits of Ms. Marina B. Deza, devolved Department of Health personnel to the Provincial Government of Iloilo.",
NCA-ROIII-20-0003179,TLRG,03/10/20 15:39:36,03/16/2020 15:57:31,Department of Education (DepEd),Office of the Secretary,Division of Bulacan,"391,219.00",To cover payment for the terminal leave benefits of Mr. Donato S. Payongayong.,
NCA-ROIII-20-0003178,TLRG,03/10/20 15:39:35,03/16/2020 15:57:30,Department of Health (DOH),Office of the Secretary,Bataan General Hospital,"522,739.00","To cover payment of the Terminal Leave Benefits of four (4) optional retirees as shown in Annex ""A"".",
NCA-ROIII-20-0003177,TR,03/10/20 15:39:33,03/16/2020 15:57:28,Department of Health (DOH),Office of the Secretary,Bataan General Hospital,"195,959.00",To cover refund of bidders' bonds which were actually deposited to the National Treasury.,
NCA-ROX-20-0003176,TLRG,03/10/20 15:34:10,03/11/2020 13:16:23,Department of Education (DepEd),Office of the Secretary,Division of Oroquieta City,"81,847.00",To cover funding requirements for  payment of monetization of leave credits for CY 2020 of  Ms. Lorena P. Serrano per attached Annex “C”  subject to compliance to  existing  CSC rules and regulations on leave monetization.,
NCA-ROXI-20-0003175,TR,03/10/20 15:10:49,03/12/2020 17:28:55,Department of Education (DepEd),Office of the Secretary,Division of Davao Occidental,"105,000.00",Payment of Trust Liabilities.,
NCA-ROXI-20-0003174,TR,03/10/20 15:10:46,03/11/2020 09:11:53,Department of Public Works and Highways (DPWH),Office of the Secretary,Davao Oriental 2nd District Engineering Office,"5,041,306.00",Payment of trust liabilities with various creditors.,
NCA-ROVII-20-0003173,REG,03/10/20 15:06:09,03/16/2020 14:15:10,Department of Education (DepEd),Office of the Secretary,Division of Tanjay City,"4,908,968.00",To cover additional operating requirements for CY 2020,
NCA-ROVI-20-0003172,REG,03/10/20 14:56:47,03/10/2020 17:13:55,Department of Education (DepEd),Office of the Secretary,Tangalan National High School,"5,487,000.00",Release of cash allocation to cover the second quarter FY 2020 operating requirements,
NCA-ROVI-20-0003172,REG,03/10/20 14:56:47,03/10/2020 17:13:55,Department of Education (DepEd),Office of the Secretary,"Rizal J. Rodriguez, Sr. National High School (Cabugao National High School)","1,926,000.00",Release of cash allocation to cover the second quarter FY 2020 operating requirements,
NCA-ROVI-20-0003172,REG,03/10/20 14:56:47,03/10/2020 17:13:55,Department of Education (DepEd),Office of the Secretary,Petronilo C. Ibadlit  National High School (Badiangan National High School),"1,732,000.00",Release of cash allocation to cover the second quarter FY 2020 operating requirements,
NCA-ROVI-20-0003172,REG,03/10/20 14:56:47,03/10/2020 17:13:55,Department of Education (DepEd),Office of the Secretary,Torralba National High School,"2,673,000.00",Release of cash allocation to cover the second quarter FY 2020 operating requirements,
NCA-ROVI-20-0003172,REG,03/10/20 14:56:47,03/10/2020 17:13:55,Department of Education (DepEd),Office of the Secretary,Union National High School,"4,175,000.00",Release of cash allocation to cover the second quarter FY 2020 operating requirements,
NCA-ROVI-20-0003172,REG,03/10/20 14:56:47,03/10/2020 17:13:55,Department of Education (DepEd),Office of the Secretary,Regional Science High School (Science Development National High School),"5,455,000.00",Release of cash allocation to cover the second quarter FY 2020 operating requirements,
NCA-ROVI-20-0003172,REG,03/10/20 14:56:47,03/10/2020 17:13:55,Department of Education (DepEd),Office of the Secretary,Toledo National High School,"5,420,000.00",Release of cash allocation to cover the second quarter FY 2020 operating requirements,
NCA-ROVI-20-0003172,REG,03/10/20 14:56:47,03/10/2020 17:13:55,Department of Education (DepEd),Office of the Secretary,Rosario National High School,"1,566,000.00",Release of cash allocation to cover the second quarter FY 2020 operating requirements,
NCA-ROVI-20-0003171,REG,03/10/20 14:56:45,03/10/2020 17:13:54,Department of Education (DepEd),Office of the Secretary,Naile National High School,"3,618,000.00",Release of cash allocation to cover the second quarter FY 2020 operating requirements,
NCA-ROVI-20-0003171,REG,03/10/20 14:56:45,03/10/2020 17:13:54,Department of Education (DepEd),Office of the Secretary,Naisud National High School,"3,548,000.00",Release of cash allocation to cover the second quarter FY 2020 operating requirements,
NCA-ROVI-20-0003171,REG,03/10/20 14:56:45,03/10/2020 17:13:54,Department of Education (DepEd),Office of the Secretary,Numancia National School of Fisheries,"5,319,000.00",Release of cash allocation to cover the second quarter FY 2020 operating requirements,
NCA-ROVI-20-0003171,REG,03/10/20 14:56:45,03/10/2020 17:13:54,Department of Education (DepEd),Office of the Secretary,Maloco National High School,"3,985,000.00",Release of cash allocation to cover the second quarter FY 2020 operating requirements,
NCA-ROVI-20-0003171,REG,03/10/20 14:56:45,03/10/2020 17:13:54,Department of Education (DepEd),Office of the Secretary,Malinao School for Philippine Craftsmen,"6,339,000.00",Release of cash allocation to cover the second quarter FY 2020 operating requirements,
NCA-ROVI-20-0003171,REG,03/10/20 14:56:45,03/10/2020 17:13:54,Department of Education (DepEd),Office of the Secretary,Malay National High School,"6,086,000.00",Release of cash allocation to cover the second quarter FY 2020 operating requirements,
NCA-ROVI-20-0003171,REG,03/10/20 14:56:45,03/10/2020 17:13:54,Department of Education (DepEd),Office of the Secretary,Numancia Integrated School,"5,847,000.00",Release of cash allocation to cover the second quarter FY 2020 operating requirements,
NCA-ROVI-20-0003171,REG,03/10/20 14:56:45,03/10/2020 17:13:54,Department of Education (DepEd),Office of the Secretary,Ondoy National High School,"3,126,000.00",Release of cash allocation to cover the second quarter FY 2020 operating requirements,
NCA-ROVI-20-0003171,REG,03/10/20 14:56:45,03/10/2020 17:13:54,Department of Education (DepEd),Office of the Secretary,Panayakan National High School,"2,033,000.00",Release of cash allocation to cover the second quarter FY 2020 operating requirements,
NCA-ROVI-20-0003171,REG,03/10/20 14:56:45,03/10/2020 17:13:54,Department of Education (DepEd),Office of the Secretary,Navitas National High School,"1,048,000.00",Release of cash allocation to cover the second quarter FY 2020 operating requirements,
NCA-ROVI-20-0003170,REG,03/10/20 14:56:44,03/10/2020 17:13:53,Department of Education (DepEd),Office of the Secretary,Libacao National Forestry Vocational High School,"8,129,000.00",Release of cash allocation to cover the second quarter FY 2020 operating requirements,
NCA-ROVI-20-0003170,REG,03/10/20 14:56:44,03/10/2020 17:13:53,Department of Education (DepEd),Office of the Secretary,Madalag National High School,"5,024,000.00",Release of cash allocation to cover the second quarter FY 2020 operating requirements,
NCA-ROVI-20-0003170,REG,03/10/20 14:56:44,03/10/2020 17:13:53,Department of Education (DepEd),Office of the Secretary,Makato Integrated School,"4,616,000.00",Release of cash allocation to cover the second quarter FY 2020 operating requirements,
NCA-ROVI-20-0003170,REG,03/10/20 14:56:44,03/10/2020 17:13:53,Department of Education (DepEd),Office of the Secretary,Gaudencio L. Vega National High School,"2,852,000.00",Release of cash allocation to cover the second quarter FY 2020 operating requirements,
NCA-ROVI-20-0003170,REG,03/10/20 14:56:44,03/10/2020 17:13:53,Department of Education (DepEd),Office of the Secretary,Candelaria National High School,"3,776,000.00",Release of cash allocation to cover the second quarter FY 2020 operating requirements,
NCA-ROVI-20-0003170,REG,03/10/20 14:56:44,03/10/2020 17:13:53,Department of Education (DepEd),Office of the Secretary,Father Julian C. Rago Memorial High School,"2,906,000.00",Release of cash allocation to cover the second quarter FY 2020 operating requirements,
NCA-ROVI-20-0003170,REG,03/10/20 14:56:44,03/10/2020 17:13:53,Department of Education (DepEd),Office of the Secretary,Camansi National High School,"1,418,000.00",Release of cash allocation to cover the second quarter FY 2020 operating requirements,
NCA-ROVI-20-0003170,REG,03/10/20 14:56:44,03/10/2020 17:13:53,Department of Education (DepEd),Office of the Secretary,"Ciriaco L. Icamina, Sr. National High School (Bulabod National High School)","1,832,000.00",Release of cash allocation to cover the second quarter FY 2020 operating requirements,
NCA-ROVI-20-0003170,REG,03/10/20 14:56:44,03/10/2020 17:13:53,Department of Education (DepEd),Office of the Secretary,Jose Borromeo Legaspi National High School,"2,816,000.00",Release of cash allocation to cover the second quarter FY 2020 operating requirements,
